date,players,viewers
20-Oct-2009,0,0
21-Oct-2009,0,0
22-Oct-2009,0,0
23-Oct-2009,0,0
24-Oct-2009,0,0
25-Oct-2009,0,0
26-Oct-2009,0,0
27-Oct-2009,0,0
28-Oct-2009,0,0
29-Oct-2009,0,0
30-Oct-2009,0,0
31-Oct-2009,0,0
1-Nov-2009,0,0
2-Nov-2009,0,0
3-Nov-2009,0,0
4-Nov-2009,0,0
5-Nov-2009,0,0
6-Nov-2009,0,0
7-Nov-2009,0,0
8-Nov-2009,0,0
9-Nov-2009,0,0
10-Nov-2009,8997,0
11-Nov-2009,0,0
12-Nov-2009,0,0
13-Nov-2009,0,0
14-Nov-2009,0,0
15-Nov-2009,0,0
16-Nov-2009,0,0
17-Nov-2009,0,0
18-Nov-2009,0,0
19-Nov-2009,0,0
20-Nov-2009,0,0
21-Nov-2009,0,0
22-Nov-2009,0,0
23-Nov-2009,0,0
24-Nov-2009,6358,0
25-Nov-2009,10833,0
26-Nov-2009,0,0
27-Nov-2009,0,0
28-Nov-2009,9245,0
29-Nov-2009,0,0
30-Nov-2009,0,0
1-Dec-2009,0,0
2-Dec-2009,9893,0
3-Dec-2009,13138,0
4-Dec-2009,0,0
5-Dec-2009,14237,0
6-Dec-2009,0,0
7-Dec-2009,11850,0
8-Dec-2009,0,0
9-Dec-2009,0,0
10-Dec-2009,0,0
11-Dec-2009,0,0
12-Dec-2009,20305,0
13-Dec-2009,0,0
14-Dec-2009,0,0
15-Dec-2009,0,0
16-Dec-2009,0,0
17-Dec-2009,14314,0
18-Dec-2009,0,0
19-Dec-2009,0,0
20-Dec-2009,0,0
21-Dec-2009,22376,0
22-Dec-2009,0,0
23-Dec-2009,0,0
24-Dec-2009,0,0
25-Dec-2009,0,0
26-Dec-2009,15650,0
27-Dec-2009,14513,0
28-Dec-2009,0,0
29-Dec-2009,0,0
30-Dec-2009,0,0
31-Dec-2009,17369,0
1-Jan-2010,0,0
2-Jan-2010,0,0
3-Jan-2010,0,0
4-Jan-2010,0,0
5-Jan-2010,18176,0
6-Jan-2010,0,0
7-Jan-2010,0,0
8-Jan-2010,0,0
9-Jan-2010,18232,0
10-Jan-2010,15219,0
11-Jan-2010,0,0
12-Jan-2010,0,0
13-Jan-2010,9808,0
14-Jan-2010,0,0
15-Jan-2010,0,0
16-Jan-2010,0,0
17-Jan-2010,18367,0
18-Jan-2010,0,0
19-Jan-2010,0,0
20-Jan-2010,0,0
21-Jan-2010,0,0
22-Jan-2010,17313,0
23-Jan-2010,0,0
24-Jan-2010,0,0
25-Jan-2010,0,0
26-Jan-2010,18487,0
27-Jan-2010,15769,0
28-Jan-2010,14947,0
29-Jan-2010,0,0
30-Jan-2010,0,0
31-Jan-2010,18250,0
1-Feb-2010,0,0
2-Feb-2010,0,0
3-Feb-2010,0,0
4-Feb-2010,14282,0
5-Feb-2010,0,0
6-Feb-2010,0,0
7-Feb-2010,0,0
8-Feb-2010,0,0
9-Feb-2010,0,0
10-Feb-2010,13884,0
11-Feb-2010,0,0
12-Feb-2010,0,0
13-Feb-2010,0,0
14-Feb-2010,13863,0
15-Feb-2010,0,0
16-Feb-2010,0,0
17-Feb-2010,0,0
18-Feb-2010,14879,0
19-Feb-2010,0,0
20-Feb-2010,0,0
21-Feb-2010,0,0
22-Feb-2010,0,0
23-Feb-2010,10739,0
24-Feb-2010,0,0
25-Feb-2010,15372,0
26-Feb-2010,0,0
27-Feb-2010,13719,0
28-Feb-2010,0,0
1-Mar-2010,0,0
2-Mar-2010,0,0
3-Mar-2010,12620,0
4-Mar-2010,11389,0
5-Mar-2010,0,0
6-Mar-2010,0,0
7-Mar-2010,0,0
8-Mar-2010,0,0
9-Mar-2010,13483,0
10-Mar-2010,0,0
11-Mar-2010,0,0
12-Mar-2010,9412,0
13-Mar-2010,12331,0
14-Mar-2010,13669,0
15-Mar-2010,0,0
16-Mar-2010,0,0
17-Mar-2010,0,0
18-Mar-2010,0,0
19-Mar-2010,0,0
20-Mar-2010,0,0
21-Mar-2010,0,0
22-Mar-2010,21671,0
23-Mar-2010,19650,0
24-Mar-2010,20368,0
25-Mar-2010,20922,0
26-Mar-2010,23147,0
27-Mar-2010,23759,0
28-Mar-2010,22563,0
29-Mar-2010,19950,0
30-Mar-2010,19593,0
31-Mar-2010,19859,0
1-Apr-2010,21434,0
2-Apr-2010,22103,0
3-Apr-2010,21883,0
4-Apr-2010,21890,0
5-Apr-2010,19885,0
6-Apr-2010,19252,0
7-Apr-2010,19641,0
8-Apr-2010,19762,0
9-Apr-2010,22119,0
10-Apr-2010,22349,0
11-Apr-2010,20500,0
12-Apr-2010,19038,0
13-Apr-2010,18045,0
14-Apr-2010,18604,0
15-Apr-2010,19881,0
16-Apr-2010,22572,0
17-Apr-2010,23609,0
18-Apr-2010,19966,0
19-Apr-2010,19215,0
20-Apr-2010,18019,0
21-Apr-2010,17100,0
22-Apr-2010,16879,0
23-Apr-2010,18928,0
24-Apr-2010,19775,0
25-Apr-2010,17699,0
26-Apr-2010,14146,0
27-Apr-2010,13654,0
28-Apr-2010,15305,0
29-Apr-2010,16932,0
30-Apr-2010,18621,0
1-May-2010,0,0
2-May-2010,15339,0
3-May-2010,11648,0
4-May-2010,11680,0
5-May-2010,14397,0
6-May-2010,15003,0
7-May-2010,19325,0
8-May-2010,19348,0
9-May-2010,18551,0
10-May-2010,15502,0
11-May-2010,14458,0
12-May-2010,15899,0
13-May-2010,16145,0
14-May-2010,20240,0
15-May-2010,20437,0
16-May-2010,17956,0
17-May-2010,15373,0
18-May-2010,15638,0
19-May-2010,15960,0
20-May-2010,19172,0
21-May-2010,20494,0
22-May-2010,21056,0
23-May-2010,20086,0
24-May-2010,16830,0
25-May-2010,16110,0
26-May-2010,17782,0
27-May-2010,18324,0
28-May-2010,18918,0
29-May-2010,20066,0
30-May-2010,19821,0
31-May-2010,18278,0
1-Jun-2010,16989,0
2-Jun-2010,17946,0
3-Jun-2010,17674,0
4-Jun-2010,15378,0
5-Jun-2010,14372,0
6-Jun-2010,17418,0
7-Jun-2010,17628,0
8-Jun-2010,17045,0
9-Jun-2010,18072,0
10-Jun-2010,27175,0
11-Jun-2010,30911,0
12-Jun-2010,33039,0
13-Jun-2010,28160,0
14-Jun-2010,23541,0
15-Jun-2010,22338,0
16-Jun-2010,22268,0
17-Jun-2010,21761,0
18-Jun-2010,22522,0
19-Jun-2010,22683,0
20-Jun-2010,21649,0
21-Jun-2010,21640,0
22-Jun-2010,20327,0
23-Jun-2010,19879,0
24-Jun-2010,19152,0
25-Jun-2010,18589,0
26-Jun-2010,20228,0
27-Jun-2010,19720,0
28-Jun-2010,19344,0
29-Jun-2010,20259,0
30-Jun-2010,21207,0
1-Jul-2010,20279,0
2-Jul-2010,19522,0
3-Jul-2010,21263,0
4-Jul-2010,25763,0
5-Jul-2010,27675,0
6-Jul-2010,31504,0
7-Jul-2010,35313,0
8-Jul-2010,44852,0
9-Jul-2010,43017,0
10-Jul-2010,36302,0
11-Jul-2010,32779,0
12-Jul-2010,31658,0
13-Jul-2010,29472,0
14-Jul-2010,27108,0
15-Jul-2010,26437,0
16-Jul-2010,26069,0
17-Jul-2010,26590,0
18-Jul-2010,26590,0
19-Jul-2010,23630,0
20-Jul-2010,22180,0
21-Jul-2010,22239,0
22-Jul-2010,22110,0
23-Jul-2010,22597,0
24-Jul-2010,24912,0
25-Jul-2010,24280,0
26-Jul-2010,21756,0
27-Jul-2010,20960,0
28-Jul-2010,21186,0
29-Jul-2010,20787,0
30-Jul-2010,19718,0
31-Jul-2010,20592,0
1-Aug-2010,20295,0
2-Aug-2010,19459,0
3-Aug-2010,18977,0
4-Aug-2010,20076,0
5-Aug-2010,19572,0
6-Aug-2010,19016,0
7-Aug-2010,20451,0
8-Aug-2010,20348,0
9-Aug-2010,18442,0
10-Aug-2010,17765,0
11-Aug-2010,19466,0
12-Aug-2010,18884,0
13-Aug-2010,19556,0
14-Aug-2010,20653,0
15-Aug-2010,20323,0
